distance,mcm_latency_ns,logical_error_rate
7,250,0.1118
7,500,0.183646
7,750,0.25739
7,1000,0.324146
7,1500,0.42169
7,2000,0.470096
9,250,0.119308
9,500,0.21057
9,750,0.300038
9,1000,0.378012
9,1500,0.465958
9,2000,0.493024
11,250,0.127202
11,500,0.237912
11,750,0.344994
11,1000,0.422534
11,1500,0.487478
11,2000,0.49943
