distance,measure_latency_ns,measure_error,logical_error_rate
7,250,0.05,0.00293
7,500,0.0292,0.00265
7,750,0.0104,0.00308
7,1000,0.0081,0.00579
9,250,0.05,0.00141
9,500,0.0292,0.00074
9,750,0.0104,0.00098
9,1000,0.0081,0.00213
11,250,0.05,0.00051
11,500,0.0292,0.00026
11,750,0.0104,0.00032
11,1000,0.0081,0.00087
