distance,mcm_latency_ns,logical_error_rate
7,250,3.6e-05
7,500,0.000158
7,750,0.000472
7,1000,0.001166
7,1500,0.003804
7,2000,0.008838
9,250,0.0
9,500,2.8e-05
9,750,8.2e-05
9,1000,0.000296
9,1500,0.001296
9,2000,0.003798
11,250,0.0
11,500,4e-06
11,750,1.6e-05
11,1000,7.8e-05
11,1500,0.000394
11,2000,0.001518
