distance,measure_latency_ns,measure_error,logical_error_rate
7,250,0.194,0.38616
7,500,0.106,0.0801
7,750,0.093,0.05207
7,1000,0.089,0.05134
9,250,0.194,0.42159
9,500,0.106,0.08044
9,750,0.093,0.04764
9,1000,0.089,0.04393
11,250,0.194,0.44401
11,500,0.106,0.08355
11,750,0.093,0.04446
11,1000,0.089,0.03931
