distance,measure_latency_ns,measure_error,logical_error_rate
7,250,0.5,0.49861
7,500,0.292,0.49823
7,750,0.104,0.24052
7,1000,0.081,0.19139
9,250,0.5,0.49989
9,500,0.292,0.49494
9,750,0.104,0.26935
9,1000,0.081,0.21208
11,250,0.5,0.49926
11,500,0.292,0.49934
11,750,0.104,0.30154
11,1000,0.081,0.23551
