benchmark,error_rate_ratio_mcm_2q,eff_2q_gates_difference
vqe,2,0.291436554933733
qft,2,0.3304624555584318
qaoa,2,0.3204926110117421
bv,2,0.29162609542356377
vqe,4,0.20591124246241788
qft,4,0.26161988876262676
qaoa,4,0.21578800246977803
bv,4,0.1815968841285297
vqe,8,0.03486061751978775
qft,8,0.12393475517101682
qaoa,8,0.0063787853858497945
bv,8,-0.03846153846153855
vqe,10,-0.05066469495152748
qft,10,0.055092188375211903
qaoa,10,-0.09832582315611438
bv,10,-0.14849074975657262
