distance,measure_error,logical_error_rate
7,0.001,0.097028
7,0.002,0.100548
7,0.005,0.111378
7,0.01,0.127526
7,0.02,0.164146
7,0.05,0.27612
9,0.001,0.092064
9,0.002,0.096164
9,0.005,0.109168
9,0.01,0.133032
9,0.02,0.18167
9,0.05,0.326404
11,0.001,0.08639
11,0.002,0.091416
11,0.005,0.108094
11,0.01,0.13793
11,0.02,0.198798
11,0.05,0.372672
