distance,measure_latency_ns,measure_error,logical_error_rate
7,250,0.0194,0.0003
7,500,0.0106,0.00093
7,750,0.0093,0.00283
7,1000,0.0089,0.00595
9,250,0.0194,3e-05
9,500,0.0106,0.00029
9,750,0.0093,0.00085
9,1000,0.0089,0.00243
11,250,0.0194,0.0
11,500,0.0106,3e-05
11,750,0.0093,0.00029
11,1000,0.0089,0.001
