distance,measure_latency_ns,measure_error,logical_error_rate
7,250,0.14560820463338742,0.34163
7,500,0.05812799215399056,0.06777
7,750,0.045838083347345404,0.07073
7,1000,0.04283659147231211,0.09987
9,250,0.14560820463338742,0.38573
9,500,0.05812799215399056,0.06003
9,750,0.045838083347345404,0.0665
9,1000,0.04283659147231211,0.09589
11,250,0.14560820463338742,0.41844
11,500,0.05812799215399056,0.05349
11,750,0.045838083347345404,0.06007
11,1000,0.04283659147231211,0.09439
